epoch,train_acc,val_acc,time,time (s)
1.0,0.48007699847221375,0.463363915681839,,47.19880414009094
2.0,0.6561086177825928,0.6095409989356995,,120.22380232810974
3.0,0.6608484983444214,0.6193655729293823,,193.43917632102966
4.0,0.6569394469261169,0.611437201499939,,266.65893173217773
5.0,0.6303396821022034,0.5894283056259155,,340.0415048599243
6.0,0.6552212834358215,0.6157820224761963,,413.0646996498108
7.0,0.6664795279502869,0.6180914044380188,,486.3971450328827
8.0,0.6625846028327942,0.6148476600646973,,559.5386090278625
9.0,0.6678656935691833,0.6106293201446533,,632.5416572093964
10.0,0.6660101413726807,0.620697557926178,,705.6997122764587
11.0,0.6579017043113708,0.6071495413780212,,779.0190989971161
12.0,0.6595895290374756,0.6009700298309326,,852.4040167331696
13.0,0.6665400862693787,0.6109228134155273,,925.609073638916
14.0,0.6539416313171387,0.6018045544624329,,998.6514947414398
15.0,0.666422963142395,0.6083550453186035,,1072.0537106990814
16.0,0.662265956401825,0.6194372177124023,,1145.4280245304108
17.0,0.6642559170722961,0.6207470893859863,,1218.801308631897
18.0,0.6641976833343506,0.6009971499443054,,1292.2510862350464
19.0,0.6713168621063232,0.6192241311073303,,1365.4644103050232
20.0,0.6691015958786011,0.6042413115501404,,1438.333633184433
21.0,0.6663234233856201,0.6089619398117065,,1511.614243030548
22.0,0.6605664491653442,0.6139971613883972,,1585.154469013214
23.0,0.6739575862884521,0.6228681206703186,,1658.313025712967
24.0,0.6704227328300476,0.6240545511245728,,1731.2988233566284
25.0,0.6749818325042725,0.6249451041221619,,1804.6101377010345
26.0,0.6625684499740601,0.6202356219291687,,1877.976972579956
27.0,0.6634758710861206,0.6132960915565491,,1951.1366872787476
28.0,0.6678887605667114,0.6162658333778381,,2024.2878034114838
29.0,0.6732712388038635,0.615692675113678,,2097.5629777908325
30.0,0.6702691316604614,0.6159704327583313,,2170.9881813526154
31.0,0.6667287945747375,0.6206825971603394,,2245.386081933975
32.0,0.6740719676017761,0.6154040694236755,,2319.688571691513
33.0,0.6724026799201965,0.6199812889099121,,2394.1334190368652
34.0,0.6738059520721436,0.6175547242164612,,2468.771090745926
35.0,0.6738031506538391,0.6221787333488464,,2543.27286195755
36.0,0.6715475916862488,0.6209593415260315,,2617.8144822120667
37.0,0.6664379239082336,0.6138468384742737,,2692.3395149707794
38.0,0.6726822853088379,0.622109591960907,,2766.811389684677
39.0,0.6533767580986023,0.6062444448471069,,2841.3168230056763
40.0,0.6662182211875916,0.6116946935653687,,2915.912824869156
41.0,0.6376835703849792,0.5853055715560913,,2990.140512228012
