epoch,train_acc,val_acc,time,time (s)
1.0,0.5747518539428711,0.5197854042053223,,106.59588861465454
2.0,0.7529333829879761,0.7033437490463257,,253.7625048160553
3.0,0.7584879994392395,0.6874120831489563,,402.12710094451904
4.0,0.7660698890686035,0.6892087459564209,,551.0693271160126
5.0,0.782870352268219,0.7191125154495239,,700.368462562561
6.0,0.7883307933807373,0.7103432416915894,,849.6263048648834
7.0,0.7886306643486023,0.6988306045532227,,998.8585593700409
8.0,0.795604407787323,0.7146561741828918,,1150.191823720932
9.0,0.7895694971084595,0.7162243723869324,,1301.3943145275116
10.0,0.8056724667549133,0.7305641770362854,,1452.9973785877228
