epoch,train_acc,val_acc,time,time (s)
1.0,0.40912720561027527,0.39051491022109985,,46.231945753097534
2.0,0.5421031713485718,0.49617278575897217,,113.30500030517578
3.0,0.573091447353363,0.5305995941162109,,179.8795166015625
4.0,0.6480122208595276,0.6068984866142273,,245.3963565826416
5.0,0.7035768628120422,0.6711878180503845,,310.65831875801086
6.0,0.7128466367721558,0.6912848353385925,,375.8992795944214
7.0,0.7047507762908936,0.6900244355201721,,441.0038239955902
8.0,0.7218995690345764,0.6945992708206177,,506.25177693367004
9.0,0.7331151962280273,0.6953886151313782,,571.7273232936859
10.0,0.7279165983200073,0.6844993829727173,,636.9323272705078
11.0,0.7368864417076111,0.702852189540863,,702.0534710884094
12.0,0.7397329211235046,0.6863470077514648,,767.280749797821
13.0,0.7401348948478699,0.7014117240905762,,832.695075750351
14.0,0.713144838809967,0.6536104083061218,,898.1964678764343
15.0,0.7385918498039246,0.7005795240402222,,963.2398488521576
16.0,0.7377645373344421,0.6830815672874451,,1028.592960357666
17.0,0.7462782263755798,0.7017166018486023,,1093.665155172348
18.0,0.7460048198699951,0.7016381621360779,,1158.875725030899
19.0,0.7518489956855774,0.7016880512237549,,1224.357126235962
20.0,0.7522360682487488,0.6960332989692688,,1289.6270651817322
